op_name,dtype,M,K,N,time_ms,flops,bytes
cudagraph_matmul,float16,8,512,1024,0.015838,8388608,1073152
cudagraph_matmul,float16,8,512,512,0.015727,4194304,540672
cudagraph_matmul,float16,4,8192,8192,0.195638,536870912,134348800
cudagraph_matmul,float16,4,8192,4096,0.103651,268435456,67207168
cudagraph_matmul,float16,4,8192,2048,0.061043,134217728,33636352
cudagraph_matmul,float16,4,8192,1024,0.035180,67108864,16850944
cudagraph_matmul,float16,4,8192,512,0.024173,33554432,8458240
cudagraph_matmul,float16,4,4096,8192,0.103514,268435456,67207168
cudagraph_matmul,float16,4,4096,4096,0.057021,134217728,33619968
cudagraph_matmul,float16,4,4096,2048,0.044398,67108864,16826368
cudagraph_matmul,float16,4,4096,1024,0.023355,33554432,8429568
cudagraph_matmul,float16,4,4096,512,0.016650,16777216,4231168
cudagraph_matmul,float16,4,2048,8192,0.056759,134217728,33636352
cudagraph_matmul,float16,4,2048,4096,0.033191,67108864,16826368
cudagraph_matmul,float16,4,2048,2048,0.027894,33554432,8421376
cudagraph_matmul,float16,4,2048,1024,0.016292,16777216,4218880
cudagraph_matmul,float16,4,2048,512,0.016389,8388608,2117632
cudagraph_matmul,float16,4,1024,8192,0.033846,67108864,16850944
cudagraph_matmul,float16,4,1024,4096,0.021425,33554432,8429568
cudagraph_matmul,float16,4,1024,2048,0.017539,16777216,4218880
cudagraph_matmul,float16,4,1024,1024,0.015985,8388608,2113536
cudagraph_matmul,float16,4,1024,512,0.015956,4194304,1060864
cudagraph_matmul,float16,4,512,8192,0.022437,33554432,8458240
cudagraph_matmul,float16,4,512,4096,0.015712,16777216,4231168
cudagraph_matmul,float16,4,512,2048,0.015745,8388608,2117632
cudagraph_matmul,float16,4,512,1024,0.015805,4194304,1060864
cudagraph_matmul,float16,4,512,512,0.015736,2097152,532480
cudagraph_matmul,float16,2,8192,8192,0.195640,268435456,134283264
cudagraph_matmul,float16,2,8192,4096,0.103781,134217728,67158016
cudagraph_matmul,float16,2,8192,2048,0.061475,67108864,33595392
cudagraph_matmul,float16,2,8192,1024,0.067624,33554432,16814080
cudagraph_matmul,float16,2,8192,512,0.024180,16777216,8423424
cudagraph_matmul,float16,2,4096,8192,0.102946,134217728,67158016
cudagraph_matmul,float16,2,4096,4096,0.056798,67108864,33587200
cudagraph_matmul,float16,2,4096,2048,0.044153,33554432,16801792
cudagraph_matmul,float16,2,4096,1024,0.023051,16777216,8409088
cudagraph_matmul,float16,2,4096,512,0.016484,8388608,4212736
cudagraph_matmul,float16,2,2048,8192,0.056891,67108864,33595392
cudagraph_matmul,float16,2,2048,4096,0.033207,33554432,16801792
cudagraph_matmul,float16,2,2048,2048,0.026842,16777216,8404992
cudagraph_matmul,float16,2,2048,1024,0.016282,8388608,4206592
cudagraph_matmul,float16,2,2048,512,0.016311,4194304,2107392
cudagraph_matmul,float16,2,1024,8192,0.033431,33554432,16814080
cudagraph_matmul,float16,2,1024,4096,0.021452,16777216,8409088
cudagraph_matmul,float16,2,1024,2048,0.017509,8388608,4206592
cudagraph_matmul,float16,2,1024,1024,0.015839,4194304,2105344
cudagraph_matmul,float16,2,1024,512,0.015722,2097152,1054720
cudagraph_matmul,float16,2,512,8192,0.022274,16777216,8423424
cudagraph_matmul,float16,2,512,4096,0.015753,8388608,4212736
